order,grammer,character,story guts,structure,comedy,title,room,level,type,prereq,weight,_room_rank,_lvl_rank,_w_rank
112,,,,,tags,,,,,,,9999.0,9999,50.0
113,,,,,running gags,,,,,,,9999.0,9999,50.0
114,,,,,timing elasticity,,,,,,,9999.0,9999,50.0
115,,,,,unwitting irony,,,,,,,9999.0,9999,50.0
116,,,,,clashing agendas,,,,,,,9999.0,9999,50.0
117,,,,,comedic pause,,,,,,,9999.0,9999,50.0
118,,,,,comedic devices,,,,,,,9999.0,9999,50.0
119,,,,,comedic structure,,,,,,,9999.0,9999,50.0
120,,,,,contrast language,,,,,,,9999.0,9999,50.0
121,,,,,deadpan,,,,,,,9999.0,9999,50.0
122,,,,,escalting predicament,,,,,,,9999.0,9999,50.0
123,,,,,escalation,,,,,,,9999.0,9999,50.0
124,,,,,exageration,,,,,,,9999.0,9999,50.0
125,,,,,visual comedy,,,,,,,9999.0,9999,50.0
126,,,,,double entandre,,,,,,,9999.0,9999,50.0
127,,,,,analogy,,,,,,,9999.0,9999,50.0
128,,,,,anti climax,,,,,,,9999.0,9999,50.0
129,,,,,call and response,,,,,,,9999.0,9999,50.0
130,,,,,call back,,,,,,,9999.0,9999,50.0
131,,,,,,,,,,,,9999.0,9999,50.0
132,,,,classic arc,,,,,,,,9999.0,9999,50.0
133,,,,scenes build chapters,,,,,,,,9999.0,9999,50.0
134,,,,chapters build arcs,,,,,,,,9999.0,9999,50.0
135,,,,acts build arcs?,,,,,,,,9999.0,9999,50.0
136,,,,arcs turn inot a novel,,,,,,,,9999.0,9999,50.0
137,advanced punctiation,,,,,,,,,,,9999.0,9999,50.0
138,enjabment,,,,,,,,,,,9999.0,9999,50.0
139,inversion,,,,,,,,,,,9999.0,9999,50.0
140,parrellellism,,,,,,,,,,,9999.0,9999,50.0
141,parataxis,,,,,,,,,,,9999.0,9999,50.0
142,hypotaxis,,,,,,,,,,,9999.0,9999,50.0
143,anaphora,,,,,,,,,,,9999.0,9999,50.0
